"img-fixed src","infocard-cell-data","ent-name","ent-name href","type-icon","type-icon href","type-icon 2","type-icon href 2","cell-num","cell-num 2","cell-num 3","cell-num 4","cell-num 5","cell-num 6","cell-num 7","type-icon 4","type-icon href 4","type-icon 5","type-icon href 5"
"https://img.pokemondb.net/sprites/scarlet-violet/icon/bulbasaur.png","0001","Bulbasaur","https://pokemondb.net/pokedex/bulbasaur","Grass","https://pokemondb.net/type/grass","Poison","https://pokemondb.net/type/poison","318","45","49","49","65","65","45","","","",""
"https://img.pokemondb.net/sprites/scarlet-violet/icon/ivysaur.png","0002","Ivysaur","https://pokemondb.net/pokedex/ivysaur","Grass","https://pokemondb.net/type/grass","Poison","https://pokemondb.net/type/poison","405","60","62","63","80","80","60","","","",""
"https://img.pokemondb.net/sprites/scarlet-violet/icon/venusaur.png","0003","Venusaur","https://pokemondb.net/pokedex/venusaur","Grass","https://pokemondb.net/type/grass","Poison","https://pokemondb.net/type/poison","525","80","82","83","100","100","80","","","",""
"https://img.pokemondb.net/sprites/scarlet-violet/icon/venusaur-mega.png","0003","Venusaur","https://pokemondb.net/pokedex/venusaur","Grass","https://pokemondb.net/type/grass","Poison","https://pokemondb.net/type/poison","625","80","100","123","122","120","80","","","",""
"https://img.pokemondb.net/sprites/scarlet-violet/icon/charmander.png","0004","Charmander","https://pokemondb.net/pokedex/charmander","","","","","309","39","52","43","60","50","65","","","",""
"https://img.pokemondb.net/sprites/scarlet-violet/icon/charmeleon.png","0005","Charmeleon","https://pokemondb.net/pokedex/charmeleon","","","","","405","58","64","58","80","65","80","","","",""
"https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard.png","0006","Charizard","https://pokemondb.net/pokedex/charizard","","","","","534","78","84","78","109","85","100","Flying","https://pokemondb.net/type/flying","",""
"https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard-mega-x.png","0006","Charizard","https://pokemondb.net/pokedex/charizard","","","","","634","78","130","111","130","85","100","","","Dragon","https://pokemondb.net/type/dragon"
"https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard-mega-y.png","0006","Charizard","https://pokemondb.net/pokedex/charizard","","","","","634","78","104","78","159","115","100","Flying","https://pokemondb.net/type/flying","",""
"https://img.pokemondb.net/sprites/scarlet-violet/icon/squirtle.png","0007","Squirtle","https://pokemondb.net/pokedex/squirtle","","","","","314","44","48","65","50","64","43","","","",""
"https://img.pokemondb.net/sprites/scarlet-violet/icon/wartortle.png","0008","Wartortle","https://pokemondb.net/pokedex/wartortle","","","","","405","59","63","80","65","80","58","","","",""
"https://img.pokemondb.net/sprites/scarlet-violet/icon/blastoise.png","0009","Blastoise","https://pokemondb.net/pokedex/blastoise","","","","","530","79","83","100","85","105","78","","","",""
"https://img.pokemondb.net/sprites/scarlet-violet/icon/blastoise-mega.png","0009","Blastoise","https://pokemondb.net/pokedex/blastoise","","","","","630","79","103","120","135","115","78","","","",""
"https://img.pokemondb.net/sprites/scarlet-violet/icon/caterpie.png","0010","Caterpie","https://pokemondb.net/pokedex/caterpie","","","","","195","45","30","35","20","20","45","","","Bug","https://pokemondb.net/type/bug"
"https://img.pokemondb.net/sprites/scarlet-violet/icon/metapod.png","0011","Metapod","https://pokemondb.net/pokedex/metapod","","","","","205","50","20","55","25","25","30","","","Bug","https://pokemondb.net/type/bug"
"https://img.pokemondb.net/sprites/scarlet-violet/icon/butterfree.png","0012","Butterfree","https://pokemondb.net/pokedex/butterfree","","","","","395","60","45","50","90","80","70","Flying","https://pokemondb.net/type/flying","Bug","https://pokemondb.net/type/bug"
